Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
2009.03,Financial auxiliaries,270,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2009.03,Financial auxiliaries,270,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2009.03,Financial auxiliaries,270,Financial liabilities Closing balance debt securities,LE00000,AFL0300,C
2009.03,Financial auxiliaries,270,Financial liabilities Closing balance loans,LE00000,AFL0400,C
2009.03,Financial auxiliaries,270,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,4332
2009.03,Financial auxiliaries,270,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2009.03,Financial auxiliaries,270,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,105
2009.03,Financial auxiliaries,270,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,1378
2009.03,Financial auxiliaries,270,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,1616
2009.03,Financial auxiliaries,270,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,1265
2009.03,Financial auxiliaries,270,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,351
2009.03,Financial auxiliaries,270,Closing balance net worth,LE00000,B900000,-0
2009.03,Financial auxiliaries,270,Closing balance total liabilities and net worth,LE00000,L000000,7407
2009.03,Captive financial institutions,281,Closing balance total assets,LE00000,A000000,294038
2009.03,Captive financial institutions,281,Financial assets Closing balance Total financial assets,LE00000,AFA0000,287719
2009.03,Captive financial institutions,281,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2009.03,Captive financial institutions,281,Financial assets Closing balance currency and deposits,LE00000,AFA0200,7786
2009.03,Captive financial institutions,281,Financial assets Closing balance debt securities,LE00000,AFA0300,15585
2009.03,Captive financial institutions,281,Financial assets Closing balance loans,LE00000,AFA0400,87157
2009.03,Captive financial institutions,281,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,143620
2009.03,Captive financial institutions,281,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,..
2009.03,Captive financial institutions,281,Financial assets Closing balance financial derivatives,LE00000,AFA0700,96
2009.03,Captive financial institutions,281,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,33475
2009.03,Captive financial institutions,281,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,294304
2009.03,Captive financial institutions,281,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2009.03,Captive financial institutions,281,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2009.03,Captive financial institutions,281,Financial liabilities Closing balance debt securities,LE00000,AFL0300,26518
2009.03,Captive financial institutions,281,Financial liabilities Closing balance loans,LE00000,AFL0400,84468
2009.03,Captive financial institutions,281,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,151191
2009.03,Captive financial institutions,281,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2009.03,Captive financial institutions,281,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,463
2009.03,Captive financial institutions,281,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,31664
2009.03,Captive financial institutions,281,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,6319
2009.03,Captive financial institutions,281,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,1291
2009.03,Captive financial institutions,281,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,5028
2009.03,Captive financial institutions,281,Closing balance net worth,LE00000,B900000,-265
2009.03,Captive financial institutions,281,Closing balance total liabilities and net worth,LE00000,L000000,294038
2009.03,Central government institutions excluding funded social insurance schemes,311,Closing balance total assets,LE00000,A000000,183476
2009.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance Total financial assets,LE00000,AFA0000,103482
2009.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,38
2009.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance currency and deposits,LE00000,AFA0200,15493
2009.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance debt securities,LE00000,AFA0300,8209
2009.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance loans,LE00000,AFA0400,16533
2009.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,49398
2009.03,Central government institutions excluding funded social insurance schemes,311,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,..
2009.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance financial derivatives,LE00000,AFA0700,1877
2009.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,11935
2009.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,67941
2009.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,375
2009.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2009.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance debt securities,LE00000,AFL0300,38554
2009.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance loans,LE00000,AFL0400,6065
2009.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2009.03,Central government institutions excluding funded social insurance schemes,311,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,10554
2009.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,835
2009.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,11557
2009.03,Central government institutions excluding funded social insurance schemes,311,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,79994
2009.03,Central government institutions excluding funded social insurance schemes,311,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,58950
2009.03,Central government institutions excluding funded social insurance schemes,311,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,21044
2009.03,Central government institutions excluding funded social insurance schemes,311,Closing balance net worth,LE00000,B900000,115535
2009.03,Central government institutions excluding funded social insurance schemes,311,Closing balance total liabilities and net worth,LE00000,L000000,183476
2009.03,Central government institutions funded social insurance schemes,312,Closing balance total assets,LE00000,A000000,17180
2009.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance Total financial assets,LE00000,AFA0000,17165
2009.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2009.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance currency and deposits,LE00000,AFA0200,726
2009.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance debt securities,LE00000,AFA0300,9941
2009.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance loans,LE00000,AFA0400,0
2009.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,4978
2009.03,Central government institutions funded social insurance schemes,312,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,..
2009.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance financial derivatives,LE00000,AFA0700,337
2009.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,1182
2009.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,971
2009.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2009.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2009.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2009.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance loans,LE00000,AFL0400,0
2009.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2009.03,Central government institutions funded social insurance schemes,312,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,89
2009.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,..
2009.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,882
